campaña,desglose,valor,alcance,impresiones,clics,clics_link,vistas_video,vistas_pagina_destino,gasto_mxn,cpc,cpm,ctr
Anuncios mes Mayo-Junio,edad,18-24,3671,4750,408,374,1571,68,45.27,0.11,9.53,8.59%
Anuncios mes Mayo-Junio,edad,25-34,7255,8499,709,630,3199,182,81.58,0.12,9.60,8.34%
Anuncios mes Mayo-Junio,edad,35-44,11730,12058,1016,939,5062,253,121.63,0.12,10.09,8.43%
Anuncios mes Mayo-Junio,edad,45-54,11622,12497,1215,1101,5940,323,136.65,0.11,10.93,9.72%
Anuncios mes Mayo-Junio,edad,55-64,7931,8408,885,813,4339,265,99.23,0.11,11.80,10.53%
Anuncios mes Mayo-Junio,edad,65+,3233,3451,408,369,1928,146,44.79,0.11,12.98,11.82%
Anuncios mes Mayo-Junio,genero,Masculino,37207,39969,3796,3494,18067,1042,426.42,0.11,10.67,9.50%
Anuncios mes Mayo-Junio,genero,Femenino,8810,9518,830,721,3900,192,100.55,0.12,10.56,8.72%
Anuncios mes Mayo-Junio,genero,Desconocido,155,176,15,11,72,3,2.18,0.15,12.39,8.52%
Anuncios mes Mayo-Junio,estado,State of Mexico,5550,6103,584,528,2682,,64.02,0.11,10.49,9.57%
Anuncios mes Mayo-Junio,estado,Puebla,2873,3246,314,279,1367,,34.07,0.11,10.50,9.67%
Anuncios mes Mayo-Junio,estado,Guanajuato,3020,3411,339,284,1512,,36.39,0.11,10.67,9.94%
Anuncios mes Mayo-Junio,estado,Jalisco,2587,2839,243,221,1280,,30.59,0.13,10.77,8.56%
Anuncios mes Mayo-Junio,estado,Michoacan de Ocampo,2560,2718,262,239,1239,,27.41,0.10,10.08,9.64%
Anuncios mes Mayo-Junio,estado,Distrito Federal,2527,2793,286,245,1287,,30.14,0.11,10.79,10.24%
Anuncios mes Mayo-Junio,estado,Veracruz,2301,2541,226,208,1092,,27.29,0.12,10.74,8.89%
Anuncios mes Mayo-Junio,estado,Chihuahua,1875,2038,183,168,869,,22.44,0.12,11.01,8.98%
Anuncios mes Mayo-Junio,estado,Oaxaca,1601,1743,160,147,762,,18.95,0.12,10.87,9.18%
Anuncios mes Mayo-Junio,estado,Tamaulipas,1436,1544,152,145,693,,17.35,0.11,11.24,9.84%
Anuncios mes Mayo-Junio,estado,Baja California,1117,1230,120,115,547,,13.34,0.11,10.85,9.76%
Anuncios mes Mayo-Junio,estado,Sinaloa,1256,1401,132,126,636,,14.84,0.11,10.59,9.42%
Anuncios mes Mayo-Junio,estado,Sonora,1311,1476,150,142,700,,17.06,0.11,11.56,10.16%
Anuncios mes Mayo-Junio,estado,Nuevo Leon,1264,1374,127,113,634,,14.56,0.11,10.60,9.24%
Anuncios mes Mayo-Junio,estado,San Luis Potosi,1148,1238,112,105,565,,13.27,0.12,10.72,9.05%
Anuncios mes Mayo-Junio,estado,Hidalgo,1374,1521,130,117,652,,15.66,0.12,10.30,8.55%
Anuncios mes Mayo-Junio,estado,Guerrero,1376,1550,139,135,675,,15.83,0.11,10.22,8.97%
Anuncios mes Mayo-Junio,estado,Coahuila de Zaragoza,1182,1304,145,128,579,,14.67,0.10,11.25,11.12%
Anuncios mes Mayo-Junio,estado,Chiapas,1384,1538,133,122,618,,16.11,0.12,10.48,8.65%
Anuncios mes Mayo-Junio,estado,Zacatecas,1085,1170,105,99,587,,11.76,0.11,10.05,8.97%
Anuncios mes Mayo-Junio,estado,Queretaro Arteaga,675,728,63,58,307,,7.64,0.12,10.50,8.65%
Anuncios mes Mayo-Junio,estado,Morelos,762,828,82,77,377,,9.10,0.11,10.99,9.90%
Anuncios mes Mayo-Junio,estado,Tabasco,617,666,70,67,282,,6.88,0.10,10.33,10.51%
Anuncios mes Mayo-Junio,estado,Tlaxcala,667,754,62,56,316,,8.02,0.13,10.64,8.22%
Anuncios mes Mayo-Junio,estado,Durango,990,1101,92,89,517,,11.64,0.13,10.57,8.36%
Anuncios mes Mayo-Junio,estado,Aguascalientes,508,553,50,48,245,,5.67,0.11,10.26,9.04%
Anuncios mes Mayo-Junio,estado,Nayarit,583,650,49,46,293,,6.80,0.14,10.46,7.54%
Anuncios mes Mayo-Junio,estado,Yucatan,470,510,42,39,220,,5.38,0.13,10.55,8.24%
Anuncios mes Mayo-Junio,estado,Quintana Roo,314,339,29,24,139,,3.85,0.13,11.36,8.55%
Anuncios mes Mayo-Junio,estado,Baja California Sur,247,273,24,22,141,,3.08,0.13,11.28,8.79%
Anuncios mes Mayo-Junio,estado,Campeche,200,224,18,16,102,,2.29,0.13,10.23,8.04%
Anuncios mes Mayo-Junio,estado,Colima,237,254,18,18,122,,2.97,0.17,11.70,7.09%
