campaña,estado,alcance,impresiones,clics,clics_link,vistas_video,gasto_mxn,cpc,cpm,ctr
Anuncios mes Mayo-Junio,State of Mexico,5550,6103,584,528,2682,64.02,0.11,10.49,9.57%
Anuncios mes Mayo-Junio,Puebla,2873,3246,314,279,1367,34.07,0.11,10.50,9.67%
Anuncios mes Mayo-Junio,Guanajuato,3020,3411,339,284,1512,36.39,0.11,10.67,9.94%
Anuncios mes Mayo-Junio,Jalisco,2587,2839,243,221,1280,30.59,0.13,10.77,8.56%
Anuncios mes Mayo-Junio,Michoacan de Ocampo,2560,2718,262,239,1239,27.41,0.10,10.08,9.64%
Anuncios mes Mayo-Junio,Distrito Federal,2527,2793,286,245,1287,30.14,0.11,10.79,10.24%
Anuncios mes Mayo-Junio,Veracruz,2301,2541,226,208,1092,27.29,0.12,10.74,8.89%
Anuncios mes Mayo-Junio,Chihuahua,1875,2038,183,168,869,22.44,0.12,11.01,8.98%
Anuncios mes Mayo-Junio,Oaxaca,1601,1743,160,147,762,18.95,0.12,10.87,9.18%
Anuncios mes Mayo-Junio,Tamaulipas,1436,1544,152,145,693,17.35,0.11,11.24,9.84%
Anuncios mes Mayo-Junio,Baja California,1117,1230,120,115,547,13.34,0.11,10.85,9.76%
Anuncios mes Mayo-Junio,Sinaloa,1256,1401,132,126,636,14.84,0.11,10.59,9.42%
Anuncios mes Mayo-Junio,Sonora,1311,1476,150,142,700,17.06,0.11,11.56,10.16%
Anuncios mes Mayo-Junio,Nuevo Leon,1264,1374,127,113,634,14.56,0.11,10.60,9.24%
Anuncios mes Mayo-Junio,San Luis Potosi,1148,1238,112,105,565,13.27,0.12,10.72,9.05%
Anuncios mes Mayo-Junio,Hidalgo,1374,1521,130,117,652,15.66,0.12,10.30,8.55%
Anuncios mes Mayo-Junio,Guerrero,1376,1550,139,135,675,15.83,0.11,10.22,8.97%
Anuncios mes Mayo-Junio,Coahuila de Zaragoza,1182,1304,145,128,579,14.67,0.10,11.25,11.12%
Anuncios mes Mayo-Junio,Chiapas,1384,1538,133,122,618,16.11,0.12,10.48,8.65%
Anuncios mes Mayo-Junio,Zacatecas,1085,1170,105,99,587,11.76,0.11,10.05,8.97%
Anuncios mes Mayo-Junio,Queretaro Arteaga,675,728,63,58,307,7.64,0.12,10.50,8.65%
Anuncios mes Mayo-Junio,Morelos,762,828,82,77,377,9.10,0.11,10.99,9.90%
Anuncios mes Mayo-Junio,Tabasco,617,666,70,67,282,6.88,0.10,10.33,10.51%
Anuncios mes Mayo-Junio,Tlaxcala,667,754,62,56,316,8.02,0.13,10.64,8.22%
Anuncios mes Mayo-Junio,Durango,990,1101,92,89,517,11.64,0.13,10.57,8.36%
Anuncios mes Mayo-Junio,Aguascalientes,508,553,50,48,245,5.67,0.11,10.26,9.04%
Anuncios mes Mayo-Junio,Nayarit,583,650,49,46,293,6.80,0.14,10.46,7.54%
Anuncios mes Mayo-Junio,Yucatan,470,510,42,39,220,5.38,0.13,10.55,8.24%
Anuncios mes Mayo-Junio,Quintana Roo,314,339,29,24,139,3.85,0.13,11.36,8.55%
Anuncios mes Mayo-Junio,Baja California Sur,247,273,24,22,141,3.08,0.13,11.28,8.79%
Anuncios mes Mayo-Junio,Campeche,200,224,18,16,102,2.29,0.13,10.23,8.04%
Anuncios mes Mayo-Junio,Colima,237,254,18,18,122,2.97,0.17,11.70,7.09%
